2026-01-16T12:31:23.887Z | GET /api/v1/home/past-events | Status: 200 | 40.552 ms | IP: ::1 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:23.896Z | GET /api/v1/home/past-events | Status: 304 | 7.083 ms | IP: ::1 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:23.989Z | GET /uploads/events/1768077441722_no-updatedImage.png | Status: 404 | 4.179 ms | IP: ::ffff:192.168.1.6 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:23.995Z | GET /uploads/events/1768075294358_no-updatedImage.png | Status: 404 | 6.679 ms | IP: ::ffff:192.168.1.6 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:24.001Z | GET /uploads/events/new-event-3112/1768068854979_Image-4.png | Status: 404 | 7.805 ms | IP: ::ffff:192.168.1.6 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:24.003Z | GET /uploads/events/free-event-test/1768067819819_Image-3.png | Status: 404 | 9.391 ms | IP: ::ffff:192.168.1.6 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:24.005Z | GET /uploads/events/1768075723902_no-updatedImage.png | Status: 404 | 10.733 ms | IP: ::ffff:192.168.1.6 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:25.929Z | GET /api/v1/home/categories | Status: 200 | 2077.573 ms | IP: ::1 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:25.940Z | GET /api/v1/home/categories | Status: 304 | 6.843 ms | IP: ::1 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:25.957Z | GET /api/v1/home/personalized-events | Status: 200 | 2102.011 ms | IP: ::1 | User: - | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:25.969Z | GET /api/v1/home/new-events-this-week | Status: 200 | 2131.621 ms | IP: ::1 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:25.991Z | GET /api/v1/home/nearby-events | Status: 200 | 2121.959 ms | IP: ::1 | User: - | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:26.001Z | GET /uploads/events/free-event-test/1768067819819_Image-3.png | Status: 404 | 18.103 ms | IP: ::ffff:192.168.1.6 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:26.007Z | GET /uploads/events/new-event-3112/1768068854979_Image-4.png | Status: 404 | 9.696 ms | IP: ::ffff:192.168.1.6 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:26.010Z | GET /api/v1/home/personalized-events | Status: 304 | 47.671 ms | IP: ::1 | User: - | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-16T12:31:26.015Z | GET /api/v1/home/new-events-this-week | Status: 304 | 37.501 ms | IP: ::1 | User: guest | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
